filename,title,source_chapter,word_count,image_count,link_count,flags,file
01-the-skeptics-toolkit-substack.md,The Skeptic's Toolkit,01-the-skeptics-toolkit.md,1688,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/01-the-skeptics-toolkit-substack.md
02-probability-uncertainty-and-the-confidence-illusion-substack.md,"Probability, Uncertainty, and the Confidence Illusion",02-probability-uncertainty-and-the-confidence-illusion.md,1738,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/02-probability-uncertainty-and-the-confidence-illusion-substack.md
03-bias-where-it-enters-and-who-is-responsible-substack.md,Bias: Where It Enters and Who Is Responsible,03-bias-where-it-enters-and-who-is-responsible.md,1717,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/03-bias-where-it-enters-and-who-is-responsible-substack.md
04-the-frictional-method-evidence-of-learning-when-ai-can-generate-the-artifact-substack.md,The Frictional Method,04-the-frictional-method-evidence-of-learning-when-ai-can-generate-the-artifact.md,1704,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/04-the-frictional-method-evidence-of-learning-when-ai-can-generate-the-artifact-substack.md
05-data-validation-reconstructing-the-epistemic-frame-behind-a-dataset-substack.md,Data Validation: Reconstructing the Epistemic Frame Behind a Dataset,05-data-validation-reconstructing-the-epistemic-frame-behind-a-dataset.md,1732,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/05-data-validation-reconstructing-the-epistemic-frame-behind-a-dataset-substack.md
06-model-explainability-distinguishing-explanation-from-the-appearance-of-explanation-substack.md,Model Explainability: Distinguishing Explanation from the Appearance of Explanation,06-model-explainability-distinguishing-explanation-from-the-appearance-of-explanation.md,1715,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/06-model-explainability-distinguishing-explanation-from-the-appearance-of-explanation-substack.md
07-fairness-metrics-choosing-a-definition-and-defending-it-substack.md,Fairness Metrics: Choosing a Definition and Defending It,07-fairness-metrics-choosing-a-definition-and-defending-it.md,1704,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/07-fairness-metrics-choosing-a-definition-and-defending-it-substack.md
08-robustness-what-understanding-means-when-a-pixel-can-break-the-model-substack.md,"Robustness: What ""Understanding"" Means When a Pixel Can Break the Model",08-robustness-what-understanding-means-when-a-pixel-can-break-the-model.md,1722,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/08-robustness-what-understanding-means-when-a-pixel-can-break-the-model-substack.md
09-validating-agentic-ai-when-autonomous-systems-misbehave-substack.md,Validating Agentic AI: When Autonomous Systems Misbehave,09-validating-agentic-ai-when-autonomous-systems-misbehave.md,1712,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/09-validating-agentic-ai-when-autonomous-systems-misbehave-substack.md
10-delegation-trust-and-the-supervisory-role-substack.md,"Delegation, Trust, and the Supervisory Role",10-delegation-trust-and-the-supervisory-role.md,1709,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/10-delegation-trust-and-the-supervisory-role-substack.md
11-visualization-under-validation-honest-misleading-and-the-choices-between-substack.md,"Visualization Under Validation: Honest, Misleading, and the Choices Between",11-visualization-under-validation-honest-misleading-and-the-choices-between.md,1715,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/11-visualization-under-validation-honest-misleading-and-the-choices-between-substack.md
12-communicating-uncertainty-calibrating-claims-to-evidence-substack.md,Communicating Uncertainty: Calibrating Claims to Evidence,12-communicating-uncertainty-calibrating-claims-to-evidence.md,1715,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/12-communicating-uncertainty-calibrating-claims-to-evidence-substack.md
13-accountability-who-is-responsible-when-the-system-fails-substack.md,Accountability: Who Is Responsible When the System Fails?,13-accountability-who-is-responsible-when-the-system-fails.md,1716,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/13-accountability-who-is-responsible-when-the-system-fails-substack.md
14-the-limits-of-ai-what-the-tools-cannot-do-substack.md,The Limits of AI: What the Tools Cannot Do,14-the-limits-of-ai-what-the-tools-cannot-do.md,1731,0,0,missing-subtitle;no-images,/Users/bear/Documents/CoWork/bear-textbooks/books/computational-skepticism-for-ai/articles/14-the-limits-of-ai-what-the-tools-cannot-do-substack.md
